"listing_id","bedrooms","bathrooms","price","created_month","weekend","interest_level","interest_level_num"
7170325,1,1,2400,"06",FALSE,"medium",2
7092344,2,1,3800,"06",FALSE,"low",1
7158677,2,1,3495,"06",FALSE,"medium",2
7211212,3,1.5,3000,"06",FALSE,"medium",2
7225292,0,1,2795,"06",FALSE,"low",1
7226687,3,1,7200,"06",FALSE,"low",1
7126989,3,2,6000,"06",FALSE,"low",1
7114138,0,1,1945,"06",TRUE,"high",3
7131094,1,0,2435,"06",FALSE,"low",1
7224815,3,3,6850,"06",FALSE,"low",1
7107333,0,1,2785,"06",TRUE,"low",1
7088993,2,1,3100,"06",FALSE,"low",1
7216312,0,1,2400,"06",TRUE,"medium",2
7140668,1,1,2750,"06",TRUE,"low",1
7141160,2,2,5465,"06",TRUE,"low",1
7753784,0,1,3150,"06",FALSE,"low",1
7140840,2,1,3750,"06",TRUE,"low",1
7172046,3,1,4450,"06",FALSE,"high",3
7168225,1,1,3200,"06",FALSE,"low",1
7213185,1,1,2495,"06",TRUE,"low",1
7206465,0,1,2195,"06",FALSE,"low",1
7134612,2,2,5975,"06",FALSE,"low",1
7156935,1,1,4960,"06",FALSE,"low",1
7096161,1,1,3362,"06",FALSE,"low",1
7131812,1,1,2700,"06",FALSE,"medium",2
7185840,3,2,5500,"06",FALSE,"low",1
7114220,2,1,5425,"06",TRUE,"low",1
7231209,2,1,3250,"06",FALSE,"low",1
7229242,0,1,2350,"06",FALSE,"low",1
7089887,2,1,3395,"06",FALSE,"low",1
7217009,2,1,4000,"06",TRUE,"low",1
7167986,0,1,1495,"06",FALSE,"high",3
7126940,4,1,5200,"06",FALSE,"medium",2
7159596,1,1,2900,"06",FALSE,"medium",2
7111210,3,1,2200,"06",TRUE,"high",3
7152345,2,1,2475,"06",TRUE,"low",1
7204899,1,1,2895,"06",FALSE,"low",1
7230245,0,1,1750,"06",FALSE,"low",1
7211226,3,2,3050,"06",FALSE,"low",1
7195563,0,1,3850,"06",FALSE,"low",1
7181313,3,1,2400,"06",TRUE,"medium",2
7206858,1,1,3925,"06",FALSE,"low",1
7126878,2,1,2795,"06",FALSE,"high",3
7174518,1,1,2850,"06",FALSE,"low",1
7209804,1,1,2985,"06",FALSE,"low",1
7119598,1,1,4400,"06",FALSE,"low",1
7133917,1,1,3620,"06",FALSE,"low",1
7174224,4,3,4200,"06",FALSE,"low",1
7157060,3,2,4995,"06",FALSE,"low",1
7173006,0,1,1895,"06",FALSE,"medium",2
7216314,3,3,13745,"06",TRUE,"low",1
7219476,1,1,3710,"06",TRUE,"low",1
7139119,1,1,3300,"06",TRUE,"low",1
7206653,3,1,4350,"06",FALSE,"low",1
7091061,1,1,2175,"06",FALSE,"low",1
7097027,1,1,2995,"06",FALSE,"low",1
7106145,3,2,2850,"06",FALSE,"high",3
7167352,1,1,3100,"06",FALSE,"low",1
7168370,0,1,2850,"06",FALSE,"low",1
7097907,0,1,2065,"06",FALSE,"low",1
7231268,1,1,2050,"06",FALSE,"low",1
7136953,1,1,3000,"06",FALSE,"high",3
7163499,1,1,3510,"06",FALSE,"low",1
7205089,0,1,2200,"06",FALSE,"low",1
7215442,0,1,3650,"06",TRUE,"low",1
7221305,0,1,2547,"06",FALSE,"low",1
7218351,0,1,2950,"06",TRUE,"medium",2
7148695,2,1,3200,"06",TRUE,"medium",2
7134031,2,1.5,2500,"06",FALSE,"low",1
7194919,2,1,3350,"06",FALSE,"low",1
7198551,1,1,5550,"06",FALSE,"low",1
7090836,0,1,3104,"06",FALSE,"low",1
7129585,1,1,3050,"06",FALSE,"low",1
7107617,1,1,2075,"06",TRUE,"medium",2
7232120,1,1,2795,"06",FALSE,"medium",2
7158471,4,1,3295,"06",FALSE,"low",1
7117491,2,1,4550,"06",FALSE,"low",1
7194997,1,1,3500,"06",FALSE,"low",1
7184842,0,1,1995,"06",FALSE,"low",1
7111019,2,1,4599,"06",TRUE,"low",1
7149858,2,3,10000,"06",TRUE,"low",1
7141788,1,1,3200,"06",TRUE,"low",1
7134172,1,1,3195,"06",FALSE,"medium",2
7233228,0,1,2717,"06",FALSE,"low",1
7166956,2,1,4000,"06",FALSE,"low",1
7134741,0,0,2625,"06",FALSE,"low",1
7148587,0,1,2500,"06",TRUE,"low",1
7114391,2,1,2550,"06",TRUE,"low",1
7210245,1,1,3675,"06",FALSE,"low",1
7200221,2,1,2500,"06",FALSE,"low",1
7176451,1,1,3785,"06",FALSE,"low",1
7112578,2,2,10800,"06",TRUE,"low",1
7169964,0,1,2150,"06",FALSE,"low",1
7129699,3,3,2895,"06",FALSE,"medium",2
7192613,2,1,3600,"06",FALSE,"low",1
7137236,0,1,3025,"06",FALSE,"low",1
7129545,0,1,2795,"06",FALSE,"low",1
7167474,1,1,1875,"06",FALSE,"low",1
7187520,1,1,3450,"06",FALSE,"low",1
7219030,2,1,2659,"06",TRUE,"low",1
7194762,2,2,3895,"06",FALSE,"low",1
7223079,3,1,3200,"06",FALSE,"medium",2
7197337,3,1,5400,"06",FALSE,"medium",2
7103559,4,2,6100,"06",FALSE,"medium",2
7112266,3,1,2600,"06",TRUE,"medium",2
7172018,1,1,2700,"06",FALSE,"medium",2
7161834,2,1,2400,"06",FALSE,"low",1
7135375,2,1,2910,"06",FALSE,"low",1
7129249,2,2,4200,"06",FALSE,"low",1
7125143,1,1,3000,"06",FALSE,"low",1
7151407,2,1,1900,"06",TRUE,"medium",2
7223550,1,1,4295,"06",FALSE,"low",1
7223021,1,1,2100,"06",FALSE,"high",3
7174183,3,1,4600,"06",FALSE,"low",1
7202273,1,1,2795,"06",FALSE,"low",1
7161696,3,1,2600,"06",FALSE,"medium",2
7225795,1,1,4300,"06",FALSE,"low",1
7095668,1,1,5005,"06",FALSE,"low",1
7234386,2,1,3045,"06",FALSE,"medium",2
7230215,2,1,1950,"06",FALSE,"medium",2
7127331,3,1,5500,"06",FALSE,"low",1
7167945,2,2,3500,"06",FALSE,"low",1
7190799,1,1,3000,"06",FALSE,"medium",2
7120422,1,1,2895,"06",FALSE,"low",1
7220083,1,1,2950,"06",FALSE,"low",1
7103388,0,1,1900,"06",FALSE,"medium",2
7163634,2,1,1700,"06",FALSE,"medium",2
7124748,2,1,3100,"06",FALSE,"medium",2
7220833,3,1,3400,"06",FALSE,"medium",2
7214952,3,2,6000,"06",TRUE,"low",1
7116891,3,1,2800,"06",FALSE,"medium",2
7137270,3,2,5295,"06",FALSE,"medium",2
7137935,4,4,4295,"06",FALSE,"low",1
7150092,3,0,2400,"06",TRUE,"low",1
7144140,0,1,2900,"06",TRUE,"medium",2
7100389,0,1,2090,"06",FALSE,"high",3
7221077,2,1,3400,"06",FALSE,"low",1
7219078,1,1,3150,"06",TRUE,"low",1
7095541,3,3,8500,"06",FALSE,"low",1
7203328,1,1,2195,"06",FALSE,"medium",2
7087981,1,1,2950,"06",FALSE,"medium",2
7229492,2,1,3000,"06",FALSE,"low",1
7206615,4,3,8100,"06",FALSE,"low",1
7120758,5,2,7477,"06",FALSE,"low",1
7107623,3,1,3150,"06",TRUE,"medium",2
7136685,3,1,3778,"06",FALSE,"medium",2
7146873,1,1,2395,"06",TRUE,"low",1
7173496,4,2,4750,"06",FALSE,"low",1
7223131,1,1,2600,"06",FALSE,"high",3
7126261,2,1,1900,"06",FALSE,"low",1
7153662,2,1,2600,"06",FALSE,"low",1
7096174,2,1,3030,"06",FALSE,"medium",2
7169773,0,1,2575,"06",FALSE,"low",1
7166336,0,1,2600,"06",FALSE,"low",1
7214496,2,1,4095,"06",TRUE,"low",1
7132195,3,1.5,5000,"06",FALSE,"low",1
7105198,3,3,6200,"06",FALSE,"low",1
7105648,1,1,3195,"06",FALSE,"low",1
7112992,1,1,3800,"06",TRUE,"low",1
7192198,1,1,3161,"06",FALSE,"low",1
7105389,2,1,2850,"06",FALSE,"medium",2
7120917,0,1,2595,"06",FALSE,"high",3
7136806,2,1,2200,"06",FALSE,"high",3
7109319,3,1,5200,"06",TRUE,"low",1
7115282,2,2,4000,"06",FALSE,"medium",2
7146676,1,1,2650,"06",TRUE,"medium",2
7215893,1,1,3141,"06",TRUE,"low",1
7165629,3,2,2798,"06",FALSE,"medium",2
7219540,2,1,2990,"06",TRUE,"medium",2
7136465,1,1,2200,"06",FALSE,"low",1
7232225,1,1,2695,"06",FALSE,"low",1
7105202,3,2,7500,"06",FALSE,"medium",2
7126430,1,1,4970,"06",FALSE,"low",1
7111867,2,1,3300,"06",TRUE,"low",1
