"price","interest_level","interest_Nbr"
2400,"medium",2
3800,"low",1
3495,"medium",2
3000,"medium",2
2795,"low",1
7200,"low",1
6000,"low",1
1945,"high",3
2435,"low",1
6850,"low",1
2785,"low",1
3100,"low",1
2400,"medium",2
2750,"low",1
5465,"low",1
3150,"low",1
3750,"low",1
4450,"high",3
3200,"low",1
2495,"low",1
2195,"low",1
5975,"low",1
4960,"low",1
3362,"low",1
2700,"medium",2
5500,"low",1
5425,"low",1
3250,"low",1
2350,"low",1
3395,"low",1
4000,"low",1
1495,"high",3
5200,"medium",2
2900,"medium",2
2200,"high",3
2475,"low",1
2895,"low",1
1750,"low",1
3050,"low",1
3850,"low",1
2400,"medium",2
3925,"low",1
2795,"high",3
2850,"low",1
2985,"low",1
4400,"low",1
3620,"low",1
4200,"low",1
4995,"low",1
1895,"medium",2
13745,"low",1
3710,"low",1
3300,"low",1
4350,"low",1
2175,"low",1
2995,"low",1
2850,"high",3
3100,"low",1
2850,"low",1
2065,"low",1
2050,"low",1
3000,"high",3
3510,"low",1
2200,"low",1
3650,"low",1
2547,"low",1
2950,"medium",2
3200,"medium",2
2500,"low",1
3350,"low",1
5550,"low",1
3104,"low",1
3050,"low",1
2075,"medium",2
2795,"medium",2
3295,"low",1
4550,"low",1
3500,"low",1
1995,"low",1
4599,"low",1
10000,"low",1
3200,"low",1
3195,"medium",2
2717,"low",1
4000,"low",1
2625,"low",1
2500,"low",1
2550,"low",1
3675,"low",1
2500,"low",1
3785,"low",1
10800,"low",1
2150,"low",1
2895,"medium",2
3600,"low",1
3025,"low",1
2795,"low",1
1875,"low",1
3450,"low",1
2659,"low",1
3895,"low",1
3200,"medium",2
5400,"medium",2
6100,"medium",2
2600,"medium",2
2700,"medium",2
2400,"low",1
2910,"low",1
4200,"low",1
3000,"low",1
1900,"medium",2
4295,"low",1
2100,"high",3
4600,"low",1
2795,"low",1
2600,"medium",2
4300,"low",1
5005,"low",1
3045,"medium",2
1950,"medium",2
5500,"low",1
3500,"low",1
3000,"medium",2
2895,"low",1
2950,"low",1
1900,"medium",2
1700,"medium",2
3100,"medium",2
3400,"medium",2
6000,"low",1
2800,"medium",2
5295,"medium",2
4295,"low",1
2400,"low",1
2900,"medium",2
2090,"high",3
3400,"low",1
3150,"low",1
8500,"low",1
2195,"medium",2
2950,"medium",2
3000,"low",1
8100,"low",1
7477,"low",1
3150,"medium",2
3778,"medium",2
2395,"low",1
4750,"low",1
2600,"high",3
1900,"low",1
2600,"low",1
3030,"medium",2
2575,"low",1
2600,"low",1
4095,"low",1
5000,"low",1
6200,"low",1
3195,"low",1
3800,"low",1
