"listing_id","bedrooms","numPh","numFeat","distance_city","bathrooms","price","created_month","created_hour","weekend","interest_level","interest_level_num"
6811957,1,5,3,0.022061149,1,3195,4,22,FALSE,"high",3
6811965,0,2,4,0.058914326,1,2000,4,22,FALSE,"medium",2
6811966,3,7,9,0.033334781,2,5850,4,22,FALSE,"high",3
6811973,1,5,7,0.087252033,1,2745,4,23,FALSE,"medium",2
6811975,1,7,7,0.086812627,1,2400,4,0,TRUE,"medium",2
6812000,1,5,5,0.01280021,1,3650,4,1,TRUE,"low",1
6812002,2,0,3,0.03334715,1,3150,4,1,TRUE,"low",1
6812004,1,5,5,0.030418235,1,3325,4,1,TRUE,"low",1
6812005,1,0,3,0.026989424,1,2795,4,1,TRUE,"low",1
6812009,2,6,1,0.177016241,1,2400,4,1,TRUE,"low",1
6812025,0,0,1,0.135278222,1,1370,4,1,TRUE,"medium",2
6812033,0,1,3,0.084477839,1,2450,4,1,TRUE,"low",1
6812048,1,3,1,0.14598218,1,1495,4,1,TRUE,"low",1
6812054,1,3,5,0.05615111,1,3725,4,1,TRUE,"low",1
6812061,1,11,5,0.046595893,1,3350,4,1,TRUE,"low",1
6812062,0,0,4,0.040997987,1,2575,4,1,TRUE,"low",1
6812064,1,6,3,0.033213693,1,3300,4,1,TRUE,"low",1
6812083,3,8,4,0.126931673,2,4475,4,1,TRUE,"low",1
6812086,1,0,1,0.045920107,1,2875,4,1,TRUE,"low",1
6812103,2,7,1,0.050885858,1,3600,4,1,TRUE,"low",1
6812107,3,8,1,0.030960625,1,5595,4,1,TRUE,"low",1
6812112,0,3,3,0.064923261,1,1900,4,1,TRUE,"low",1
6812113,1,5,6,0.089331388,1,3125,4,1,TRUE,"low",1
6812120,0,0,0,0.079847842,1,2095,4,1,TRUE,"low",1
6812122,2,7,3,0.017227424,2,4795,4,1,TRUE,"low",1
6812133,0,0,4,0.060169456,1,2750,4,1,TRUE,"low",1
6812142,2,13,3,0.055968673,1,2450,4,1,TRUE,"low",1
6812150,2,1,3,0.109953643,1,2900,4,1,TRUE,"low",1
6812154,1,2,3,0.092915806,1,3350,4,1,TRUE,"low",1
6812160,2,0,2,0.078359127,1,2995,4,1,TRUE,"low",1
6812162,2,0,1,0.117345955,1,2595,4,1,TRUE,"low",1
6812175,3,9,4,0.089145217,2,4510,4,1,TRUE,"low",1
6812179,1,7,5,0.007369273,1,3535,4,1,TRUE,"low",1
6812192,1,3,4,0.056021803,1,2895,4,1,TRUE,"low",1
6812198,0,3,3,0.071734809,1,1875,4,1,TRUE,"low",1
6812201,1,4,1,0.077381168,1,2100,4,1,TRUE,"low",1
6812208,1,0,3,0.014615301,1,2795,4,1,TRUE,"low",1
6812223,2,9,0,0.091448611,1,2450,4,1,TRUE,"low",1
6812233,1,2,3,0.069599514,1,2650,4,1,TRUE,"low",1
