"listing_id","bedrooms","bathrooms","price","created_month","created_hour","weekend","interest_level","interest_level_num","time_ofday","clean_wordcount","numPh","numFeat","distance_city"
7170325,1,1,2400,"06","05",FALSE,"medium",2,"00-06",44,12,7,0.0520790934193359
7092344,2,1,3800,"06","05",FALSE,"low",1,"00-06",77,6,6,0.0512052799170164
7158677,2,1,3495,"06","15",FALSE,"medium",2,"12-18",77,6,6,0.0623433559521749
7211212,3,1.5,3000,"06","07",FALSE,"medium",2,"06-12",62,5,0,0.0634645115901873
7225292,0,1,2795,"06","03",FALSE,"low",1,"00-06",30,4,4,0.0443778772743791
7226687,3,1,7200,"06","05",FALSE,"low",1,"00-06",92,5,6,0.0293714421058918
7126989,3,2,6000,"06","06",FALSE,"low",1,"00-06",51,7,5,0.0291229083606008
7114138,0,1,1945,"06","05",TRUE,"high",3,"00-06",45,5,5,0.0872950832027723
7131094,1,0,2435,"06","04",FALSE,"low",1,"00-06",40,4,1,0.0330611725651129
7224815,3,3,6850,"06","03",FALSE,"low",1,"00-06",148,11,2,0.0180419026541082
7107333,0,1,2785,"06","02",TRUE,"low",1,"00-06",44,4,5,0.0809983728934164
7088993,2,1,3100,"06","02",FALSE,"low",1,"00-06",61,5,12,0.0414509166530697
7216312,0,1,2400,"06","05",TRUE,"medium",2,"00-06",53,4,11,0.0487133783613918
7140668,1,1,2750,"06","03",TRUE,"low",1,"00-06",53,6,1,0.0160559973648453
7141160,2,2,5465,"06","04",TRUE,"low",1,"00-06",19,10,8,0.068552262190103
7753784,0,1,3150,"06","10",FALSE,"low",1,"06-12",56,10,1,0.0398206869777586
7140840,2,1,3750,"06","03",TRUE,"low",1,"00-06",70,7,3,0.0531901961961041
7172046,3,1,4450,"06","07",FALSE,"high",3,"06-12",93,7,11,0.0306047713825754
7168225,1,1,3200,"06","03",FALSE,"low",1,"00-06",96,5,1,0.0739313773128843
7213185,1,1,2495,"06","01",TRUE,"low",1,"00-06",17,3,1,0.0756314890199837
7206465,0,1,2195,"06","02",FALSE,"low",1,"00-06",10,4,5,0.0451230937700484
7134612,2,2,5975,"06","02",FALSE,"low",1,"00-06",40,6,4,0.0328225655819289
7156935,1,1,4960,"06","02",FALSE,"low",1,"00-06",105,7,10,0.0580915005089378
7096161,1,1,3362,"06","02",FALSE,"low",1,"00-06",131,6,5,0.0308718893393328
7131812,1,1,2700,"06","05",FALSE,"medium",2,"00-06",53,4,2,0.0809434766449981
7185840,3,2,5500,"06","19",FALSE,"low",1,"18-23",37,7,4,0.0319320721435385
7114220,2,1,5425,"06","11",TRUE,"low",1,"06-12",48,4,5,0.00452983348259599
7231209,2,1,3250,"06","04",FALSE,"low",1,"00-06",89,6,2,0.0819512891379958
7229242,0,1,2350,"06","02",FALSE,"low",1,"00-06",75,4,4,0.0755167024662771
7089887,2,1,3395,"06","03",FALSE,"low",1,"00-06",77,4,11,0.0480036222735305
7217009,2,1,4000,"06","06",TRUE,"low",1,"00-06",70,8,4,0.0133349110000757
7167986,0,1,1495,"06","03",FALSE,"high",3,"00-06",19,3,3,0.0642209989908245
7126940,4,1,5200,"06","06",FALSE,"medium",2,"00-06",31,3,1,0.0990391302030665
7159596,1,1,2900,"06","15",FALSE,"medium",2,"12-18",115,5,2,0.0202642599514474
7111210,3,1,2200,"06","06",TRUE,"high",3,"00-06",42,9,1,0.0682019148659328
7152345,2,1,2475,"06","13",TRUE,"low",1,"12-18",0,13,3,0.080912401591975
7204899,1,1,2895,"06","03",FALSE,"low",1,"00-06",40,4,5,0.0520983425012722
7230245,0,1,1750,"06","03",FALSE,"low",1,"00-06",31,5,2,0.0771600858694489
7211226,3,2,3050,"06","07",FALSE,"low",1,"06-12",135,8,8,0.0799887794092399
7195563,0,1,3850,"06","07",FALSE,"low",1,"06-12",106,9,7,0.0367010987761983
7181313,3,1,2400,"06","21",TRUE,"medium",2,"18-23",19,9,3,0.0849964326979651
7206858,1,1,3925,"06","02",FALSE,"low",1,"00-06",78,8,8,0.0646841706399628
7126878,2,1,2795,"06","06",FALSE,"high",3,"00-06",21,6,0,0.0873894226515989
7174518,1,1,2850,"06","01",FALSE,"low",1,"00-06",27,3,3,0.0295871095475794
