listing_id,created_hour,manager_score,building_score
7216478,5,1,1.107772146
7186381,1,1.041666667,1.107772146
6917176,1,1,1.107772146
7189434,3,1.8,1.107772146
6965613,1,1,1.107772146
7196707,1,1,1.107772146
7095474,1,1,1.107772146
6994375,3,1,1.107772146
7196431,1,1,1.107772146
7052300,3,1.64,1.107772146
6897459,1,1,1.107772146
6821401,3,1.4,1.107772146
7144572,1,1,1.107772146
7226816,6,1,1.107772146
6851184,1,1,1.107772146
6829757,3,1,1.107772146
6815023,3,1,1.107772146
6961040,1,1,1.107772146
6923806,1,1,1.107772146
7226696,5,1,1.107772146
7186654,1,1.041666667,1.107772146
7144776,1,1,1.107772146
6912967,5,1,1.107772146
6843305,3,1,1.107772146
7037490,3,1,1.107772146
7213333,1,1.45,1.107772146
6914475,1,1,1.107772146
7191154,4,1,1.107772146
7127927,1,1,1.107772146
7139958,2,1.215151515,1.107772146
6963418,3,1,1.107772146
6934333,1,1,1.107772146
6955472,2,1,1.107772146
7059265,3,1,1.107772146
7132553,6,1,1.107772146
7144441,1,1,1.107772146
6820533,2,1.166666667,1.107772146
7073274,1,1,1.107772146
7202528,1,1,1.107772146
7067888,1,1,1.107772146
7007132,5,1,1.107772146
6954860,1,1,1.107772146
6956919,3,2,1.107772146
7027075,1,1,1.107772146
7067729,1,1,1.107772146
6880947,1,1,1.107772146
6884992,1,1,1.107772146
7067616,1,1,1.107772146
6835698,1,1,1.107772146
6940771,2,1,1.107772146
6890386,3,1.48,1.107772146
7024345,14,1,1.107772146
6902145,6,1.052083333,1.107772146
6832465,6,2.5,1.107772146
6824649,3,1,1.107772146
6903341,1,1,1.107772146
6923826,1,1.45,1.107772146
7144338,1,1,1.107772146
7096394,2,1.215151515,1.107772146
6939847,1,1,1.107772146
6928900,1,1,1.107772146
6923861,1,1.45,1.107772146
6859212,3,1,1.107772146
7054021,1,1,1.107772146
7164400,5,1.034482759,1.107772146
6819635,12,1.043010753,1.107772146
7213332,1,1.041666667,1.107772146
7040339,1,1,1.107772146
7014555,1,1,1.107772146
7014996,1,1.230769231,1.107772146
7034658,1,1,1.107772146
6812516,1,1.45,1.107772146
7100885,1,1,1.107772146
7133592,1,1,1.107772146
6854223,1,1.230769231,1.107772146
7186742,1,1.041666667,1.107772146
6924282,2,1.208333333,1.107772146
6914581,1,1,1.107772146
7040508,1,1,1.107772146
7094982,1,1.333333333,1.107772146
