"listing_id","interest_level","interest_Nbr","senti_anger","senti_anticipation","senti_disgust","senti_fear","senti_joy","senti_sadness","senti_surprise","senti_trust","senti_negative","senti_positive"
7170325,"medium",2,1,0,0,0,1,0,0,0,0,6
7092344,"low",1,0,2,1,1,4,0,1,6,2,11
7158677,"medium",2,0,2,0,0,2,0,0,1,0,9
7211212,"medium",2,0,3,0,0,1,0,2,4,0,8
7225292,"low",1,0,2,0,1,2,2,0,1,4,3
7226687,"low",1,1,2,0,0,2,1,2,3,2,7
7126989,"low",1,0,1,1,0,3,0,1,3,1,6
7114138,"high",3,1,3,1,0,3,0,2,3,2,5
7131094,"low",1,0,2,0,0,1,0,1,2,0,6
7224815,"low",1,1,3,1,1,5,2,1,5,7,12
7107333,"low",1,0,0,0,0,0,0,0,0,0,3
7088993,"low",1,1,1,0,0,2,0,0,1,1,10
7216312,"medium",2,1,3,1,1,5,1,1,4,4,9
7140668,"low",1,2,2,1,0,2,0,2,2,1,5
7141160,"low",1,1,1,0,0,0,0,0,1,1,3
7753784,"low",1,2,4,2,0,3,1,3,3,0,7
7140840,"low",1,0,4,0,0,4,0,2,3,0,10
7172046,"high",3,1,2,0,0,4,0,1,5,1,11
7168225,"low",1,1,4,1,0,4,0,2,4,0,13
7213185,"low",1,0,0,0,0,0,0,0,0,0,0
7206465,"low",1,0,1,0,0,0,0,0,0,0,1
7134612,"low",1,0,0,0,0,1,0,0,0,0,6
7156935,"low",1,1,2,0,2,3,1,2,5,2,10
7096161,"low",1,0,6,0,0,4,0,1,9,1,16
7131812,"medium",2,1,2,0,0,3,1,1,3,1,7
7185840,"low",1,0,0,0,0,0,0,0,0,0,3
7114220,"low",1,0,2,0,1,1,1,0,3,0,7
7231209,"low",1,0,0,1,0,0,0,0,1,0,3
7229242,"low",1,1,2,1,1,2,1,0,5,1,13
7089887,"low",1,0,2,0,0,6,1,2,3,1,11
7217009,"low",1,1,2,1,1,4,0,1,3,4,8
7167986,"high",3,0,1,0,0,0,0,0,2,0,3
7126940,"medium",2,0,1,0,0,0,0,0,0,0,2
7159596,"medium",2,0,7,0,0,6,3,3,3,2,17
7111210,"high",3,0,2,0,0,1,0,1,1,1,3
7152345,"low",1,0,0,0,0,0,0,0,0,0,0
7204899,"low",1,0,1,0,0,0,0,1,1,1,3
7230245,"low",1,1,1,0,0,1,0,1,1,1,1
7211226,"low",1,0,7,0,0,7,1,4,6,1,19
7195563,"low",1,2,2,1,0,0,0,2,7,3,10
7181313,"medium",2,1,0,0,0,1,0,0,1,1,3
7206858,"low",1,0,6,0,0,6,0,3,6,0,11
7126878,"high",3,0,0,1,0,0,0,0,0,1,0
7174518,"low",1,0,1,0,0,1,0,0,1,1,3
7209804,"low",1,0,1,0,0,1,0,1,1,0,3
7119598,"low",1,2,4,1,0,6,1,3,4,5,13
7133917,"low",1,0,0,0,0,0,0,0,0,0,3
7174224,"low",1,1,0,0,0,1,0,0,0,3,5
7157060,"low",1,0,1,0,0,1,0,1,1,0,3
7173006,"medium",2,0,1,0,1,0,0,0,0,1,4
7216314,"low",1,3,6,2,3,9,3,3,7,10,27
7219476,"low",1,0,2,0,0,2,0,0,0,0,3
7139119,"low",1,0,0,0,0,0,0,0,0,0,3
7206653,"low",1,0,6,0,0,4,0,0,5,0,10
7091061,"low",1,0,0,0,0,0,0,0,0,0,0
7097027,"low",1,0,0,0,0,0,0,0,0,0,0
7106145,"high",3,0,0,0,0,1,0,0,0,2,3
7167352,"low",1,0,3,0,0,4,0,1,3,0,10
7168370,"low",1,0,3,0,0,3,0,3,3,0,8
7097907,"low",1,0,1,0,0,0,0,0,1,0,5
7231268,"low",1,0,0,0,0,0,0,0,0,0,0
7136953,"high",3,0,1,0,0,1,0,0,3,0,4
7163499,"low",1,1,5,1,0,4,0,2,5,1,9
7205089,"low",1,1,3,1,0,2,0,1,2,0,5
7215442,"low",1,1,4,0,0,5,0,2,5,1,13
7221305,"low",1,0,1,0,0,0,0,0,1,0,2
7218351,"medium",2,0,1,0,0,1,0,0,1,1,5
7148695,"medium",2,0,4,0,1,3,0,1,2,0,8
7134031,"low",1,0,1,1,0,2,2,1,3,3,10
7194919,"low",1,0,3,0,0,3,2,2,4,2,11
7198551,"low",1,0,0,0,0,0,0,0,0,0,0
7090836,"low",1,0,0,0,0,0,0,0,0,0,0
7129585,"low",1,0,2,0,0,2,0,1,2,1,11
7107617,"medium",2,0,1,0,0,0,0,0,0,0,3
7232120,"medium",2,0,2,0,0,1,2,1,2,2,4
7158471,"low",1,0,2,0,0,1,0,1,2,0,3
7117491,"low",1,0,0,0,0,0,0,0,0,0,0
7194997,"low",1,0,0,0,0,1,0,0,0,0,2
7184842,"low",1,1,2,1,0,1,2,2,2,4,9
7111019,"low",1,1,1,0,1,4,0,1,4,3,14
7149858,"low",1,1,4,1,0,3,1,1,2,1,10
7141788,"low",1,0,1,0,0,1,0,1,2,0,6
7134172,"medium",2,0,2,0,0,1,2,1,2,2,4
7233228,"low",1,0,4,1,0,5,0,4,7,2,11
7166956,"low",1,0,0,0,0,0,0,0,0,0,4
7134741,"low",1,0,2,0,1,4,1,1,1,0,11
7148587,"low",1,0,0,0,0,0,0,0,0,0,0
7114391,"low",1,1,2,0,1,2,1,0,4,3,6
7210245,"low",1,1,4,0,0,5,1,3,5,0,9
7200221,"low",1,0,1,0,0,1,0,1,0,0,1
7176451,"low",1,0,0,0,1,0,0,0,1,0,3
7112578,"low",1,1,1,0,1,2,0,1,3,3,8
7169964,"low",1,3,1,1,1,1,1,1,1,3,3
7129699,"medium",2,0,1,0,0,1,1,1,1,0,3
7192613,"low",1,0,1,0,0,2,0,0,2,0,5
7137236,"low",1,0,0,0,0,1,0,1,1,0,3
7129545,"low",1,0,1,0,0,0,0,0,1,0,3
7167474,"low",1,0,1,0,0,0,0,0,1,0,4
7187520,"low",1,0,0,0,0,0,0,0,0,0,0
7219030,"low",1,0,1,0,0,1,0,0,1,0,7
7194762,"low",1,0,1,0,0,1,0,0,1,1,9
7223079,"medium",2,1,1,1,1,1,1,1,2,1,4
7197337,"medium",2,0,1,0,0,2,0,1,1,0,5
7103559,"medium",2,3,2,0,2,2,0,1,5,2,14
7112266,"medium",2,0,6,0,1,7,3,1,7,2,16
7172018,"medium",2,2,2,1,1,4,1,0,4,3,10
7161834,"low",1,0,1,0,0,0,0,0,0,0,1
7135375,"low",1,0,2,0,1,2,0,1,3,1,7
7129249,"low",1,0,1,0,1,3,0,1,4,2,8
7125143,"low",1,0,0,0,1,0,0,0,0,0,4
7151407,"medium",2,1,3,0,1,2,1,1,1,0,4
7223550,"low",1,0,1,0,1,1,0,1,3,2,9
7223021,"high",3,0,1,0,1,2,2,0,0,2,6
7174183,"low",1,0,1,0,1,2,1,1,3,1,6
7202273,"low",1,1,0,0,0,0,1,0,2,1,4
7161696,"medium",2,0,3,0,0,3,0,0,2,0,7
7225795,"low",1,2,1,0,0,1,0,0,1,3,3
7095668,"low",1,0,3,0,0,5,2,3,2,2,11
7234386,"medium",2,0,0,0,0,1,1,0,1,0,3
7230215,"medium",2,0,2,0,1,1,1,0,4,1,7
7127331,"low",1,1,2,0,1,1,0,1,2,2,7
7167945,"low",1,0,5,0,0,5,0,3,5,0,9
7190799,"medium",2,0,2,0,0,4,0,1,3,0,9
7120422,"low",1,0,1,0,0,2,0,0,3,0,8
7220083,"low",1,0,0,0,0,2,0,0,0,0,7
7103388,"medium",2,2,0,0,1,2,1,1,3,4,10
7163634,"medium",2,0,0,0,0,0,0,0,0,0,0
7124748,"medium",2,1,8,0,1,12,1,4,8,4,21
7220833,"medium",2,1,1,1,0,2,0,1,3,2,5
7214952,"low",1,0,1,0,0,1,0,0,1,0,8
7116891,"medium",2,0,2,0,0,0,0,0,1,0,3
7137270,"medium",2,2,3,0,1,3,0,3,2,2,5
7137935,"low",1,1,3,1,0,2,0,0,1,1,5
7150092,"low",1,0,0,0,0,0,0,0,0,0,0
7144140,"medium",2,0,1,0,1,1,0,1,1,0,6
7100389,"high",3,0,1,0,0,2,0,1,1,0,5
7221077,"low",1,2,0,0,1,0,1,0,1,2,5
7219078,"low",1,1,3,0,0,3,1,1,2,2,10
7095541,"low",1,0,2,0,1,5,0,1,4,2,10
7203328,"medium",2,2,4,2,1,3,1,2,3,0,9
7087981,"medium",2,0,3,0,1,3,0,3,2,1,8
7229492,"low",1,0,1,0,0,0,0,0,1,0,2
7206615,"low",1,0,2,0,1,1,0,1,2,1,7
7120758,"low",1,0,1,0,0,1,0,0,4,2,9
7107623,"medium",2,2,4,0,1,3,1,2,4,1,10
7136685,"medium",2,0,2,0,0,1,0,1,2,0,5
7146873,"low",1,0,0,0,0,1,0,0,0,1,1
7173496,"low",1,0,3,0,0,3,0,1,3,1,9
7223131,"high",3,0,1,0,0,2,1,0,3,2,9
7126261,"low",1,2,1,1,1,0,1,1,2,3,4
7153662,"low",1,0,0,0,0,1,0,0,0,0,5
7096174,"medium",2,0,1,0,0,3,0,0,3,0,5
7169773,"low",1,0,1,0,1,2,1,1,3,3,7
7166336,"low",1,0,0,0,0,0,0,0,0,0,1
7214496,"low",1,1,2,0,0,2,0,2,2,1,5
7132195,"low",1,1,2,2,0,1,0,0,1,2,5
7105198,"low",1,0,7,0,0,8,0,4,6,0,17
7105648,"low",1,0,1,0,0,1,0,0,1,0,4
7112992,"low",1,0,1,0,0,0,0,0,1,0,4
7192198,"low",1,2,4,0,1,5,0,2,5,2,11
7105389,"medium",2,2,4,0,1,4,0,2,3,2,10
